"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","absolute","text-xs-2","font-normal 2"
"https://mahally.com/products/1951545756/655640514/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=1&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fdcd89d8-1b84-49c6-9191-781c809afdb9-500x500-e4RSVcY8N3Q5WNgv4AMxo88v7xJWMVrPj1Vb3sF5.png","مجموعة لا في إيه بيل 100 مل","793",".5","","",""
"https://mahally.com/products/1951545756/1617081931/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=2&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg","عطر ماجيك من ستيفانو 100مل","159","","- 33%","235",".75"
"https://mahally.com/products/1951545756/668277953/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=3&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png","جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة","95",".45","","",""
"https://mahally.com/products/1951545756/883341023/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=4&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png","بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة","80",".5","","",""
"https://mahally.com/products/1951545756/1872340232/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=5&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png","كريم أساس اير مات من بورجوا - 03 لايت بيج","55",".2","","",""
"https://mahally.com/products/1951545756/1609670816/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=6&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png","فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل","164",".45","","",""
"https://mahally.com/products/1951545756/213318957/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=7&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b552dd7b-df15-438d-b25a-7eb494c226eb-500x500-tZAoVVpgLFe5qEJlGnsmMXdR9zMHYqcJ6tQSRD57.png","مجموعة عطر باكو رابان مليون جولد النسائي او دي بارفيوم 90 مل + عينة 20 مل","540",".5","","",""
"https://mahally.com/products/1951545756/1090406148/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=8&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8b63ff5c-28a0-43b2-9a86-4eb40f4b758b-500x500-hi43MPJ3PqZFVuXgHBAB9DeGgYptce4JNwsHJRlx.png","عطر دولسي جابانا ذا ون أو دو بارفيوم 100مل اصدار 2026","437","","- 19%","538",".2"
"https://mahally.com/products/1951545756/1776343211/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=9&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a902fa7e-9330-4d0f-a063-97d11d52aa23-500x500-UEiZ6WKKqSFZWMGzOZbJ59Uh8P1YXpg06IR21yB6.png","عطر جيفنشي هوت كوتور او دو تواليت 100مل","402",".5","","",""
"https://mahally.com/products/1951545756/920525677/?queryID=5eb62a2d61cf4727e7bb16643d5671fb&position=10&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png","توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل","362",".25","","",""
