"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","h-full href","w-full src 2","styles_skeletonLoading__7svpE 2","w-full src 3"
"https://mahally.com/products/1891860617/1770772123/?queryID=cae7488f3290e7339fdb87a502e3f903&position=1&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/7463b5c8-c5aa-4a84-b664-4451da2f5f74-500x358.74439461883-7fpE9wMUzD3mEcHmbymI4P0f9hd1UJWTAie1lYl1.jpg","طقم جيرلان انسولنس او دي بارفيوم 75 + 15مل","632",".5","","","",""
"https://mahally.com/products/1891860617/2123607356/?queryID=cae7488f3290e7339fdb87a502e3f903&position=2&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/edaeedfc-9d67-4f7d-8d5d-f8918cc5dc36-500x500-7j7fFMU3K3o9AYLKHmmSnY2sFaqs4oQlx6j5mkAt.webp","مجموعة دولتشي آند غابانا ذا اونلي ون او دي برفيوم 100مل + عينة 10مل + عينة 5مل","460","","","","",""
"https://mahally.com/products/1891860617/737788950/?queryID=cae7488f3290e7339fdb87a502e3f903&position=3&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/43b784c8-85a3-4b11-8f15-7eec464e1d37-500x500-FnjlrCfmZaTXs8Edm96vmHBoarfsIaT3LmIFlEyC.webp","عطر ايدول باور لو دي بارفان انتينس 25 مل","218",".5","","","",""
"https://mahally.com/products/1891860617/980521472/?queryID=cae7488f3290e7339fdb87a502e3f903&position=4&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/b9791d18-a09d-4daa-ae3e-97923b5718c9-500x500-65ZzoVDDucYHOS1eISgs1aa97sopdEMp869Zvpxj.png","ترومبت ديفيد ولتر اليكسير دي بارفيوم 100مل","207","","","","",""
"https://mahally.com/products/1891860617/1176820820/?queryID=cae7488f3290e7339fdb87a502e3f903&position=5&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/1a994d1d-228b-479c-9daa-caca7ff079b3-500x500-nkDCO8FWBnoDXHVsFBXoo8MumAMCgegBDgKUSZKm.png","فيولين ديفيد ولتر اليكسير دي بارفيوم 100مل","207","","","","",""
"https://mahally.com/products/1891860617/709984683/?queryID=cae7488f3290e7339fdb87a502e3f903&position=6&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/12e90c25-3004-4161-b46f-a8440895f04a-500x500-rHbOgjQOsdymEmnoK96q7xdufyu5xKlR5YYaBjmb.jpg","عطر توم فورد سوليل برولانت للجنسين30مل","632",".5","","","",""
"https://mahally.com/products/1891860617/1513460761/?queryID=cae7488f3290e7339fdb87a502e3f903&position=7&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/06767ed4-1b04-462f-91f1-21eb65abd997-500x500-4nQQR9ax2TiLG4d7LtkD2KnZiJzHCC30AJfP5NX0.webp","عطر توم فورد سولاي نيج أو دو بارفيوم 100مل","575","","","","",""
"https://mahally.com/products/1891860617/249909702/?queryID=cae7488f3290e7339fdb87a502e3f903&position=8&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/e160ba23-220c-4c78-94ba-5e18610e24d7-499x500-drdVF4KKb7nuOX0EsThQKWxVyS8PXzBqtTB3w0Wv.webp","امواج لاين 618 ايسنس دي بارفيوم 100 مل","1610","","","","",""
"https://mahally.com/products/1891860617/528477841/?queryID=cae7488f3290e7339fdb87a502e3f903&position=9&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/1a820ecd-cc61-431d-ae15-252e9dd135ac-479.5x500-6YGBbSrDzz3vGqGNNkLCuFpuUPLVAfnaeE60jRAo.webp","عطر أمواج سيكوينس او دي بارفيوم 100 مل","1610","","","","",""
"https://mahally.com/products/1891860617/1837338161/?queryID=cae7488f3290e7339fdb87a502e3f903&position=10&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/d77ed2e2-4272-4e09-a548-5a7c8c927ce6-500x500-r0CsFEJeS8CINOmj6utdDuUHmRmqBmlaM8tVTUFs.webp","اتيليه فيرزاتشي عطر جاسمين او سليل او دو بيرفيوم للجنسين - 100 مل","1012","","","","",""
